end_month,water_level_absolute,water_level_relative,reservoir
2020-02-01,32154,0.00038464230024565,ÅRNESTØLSVATN_1_DAM
2020-03-01,12051035,0.144160534388905,ÅRNESTØLSVATN_1_DAM
2020-04-01,6885024,0.0823621157120889,ÅRNESTØLSVATN_1_DAM
2020-05-01,425714,0.0050926047212408,ÅRNESTØLSVATN_1_DAM
2020-06-01,19838014,0.237312288899217,ÅRNESTØLSVATN_1_DAM
2020-07-01,46651189,0.558064957583957,ÅRNESTØLSVATN_1_DAM
2020-08-01,60848,0.000727894342394331,ÅRNESTØLSVATN_1_DAM
2020-09-01,72581052,0.868251004401603,ÅRNESTØLSVATN_1_DAM
2020-10-01,48856891,0.584450672920663,ÅRNESTØLSVATN_1_DAM
2020-11-01,83594550,1,ÅRNESTØLSVATN_1_DAM
2020-12-01,53574,0.000640879100371974,ÅRNESTØLSVATN_1_DAM
2021-01-01,84646523,1.01258422947429,ÅRNESTØLSVATN_1_DAM
2021-02-01,81949179,0.980317245562061,ÅRNESTØLSVATN_1_DAM
2021-03-01,14030745,0.167842819896752,ÅRNESTØLSVATN_1_DAM
2021-04-01,2344887,0.0280507162249214,ÅRNESTØLSVATN_1_DAM
2021-05-01,586668,0.00701801732289964,ÅRNESTØLSVATN_1_DAM
2021-06-01,87499810,1.04671668188895,ÅRNESTØLSVATN_1_DAM
2021-07-01,91332571,1.09256609432074,ÅRNESTØLSVATN_1_DAM
2021-08-01,44801846,0.535942187618691,ÅRNESTØLSVATN_1_DAM
2021-09-01,64944974,0.776904403456924,ÅRNESTØLSVATN_1_DAM
2021-10-01,97213192,1.16291303679486,ÅRNESTØLSVATN_1_DAM
2021-11-01,30325442,0.362768170891523,ÅRNESTØLSVATN_1_DAM
2021-12-01,113173587,1.35383929933231,ÅRNESTØLSVATN_1_DAM
2022-01-01,118875596,1.42204959533845,ÅRNESTØLSVATN_1_DAM
2022-02-01,89481498,1.07042262922643,ÅRNESTØLSVATN_1_DAM
2022-03-01,4784832,0.0572385639972941,ÅRNESTØLSVATN_1_DAM
2022-04-01,558091,0.00667616489352476,ÅRNESTØLSVATN_1_DAM
2022-05-01,2315097,0.0276943532802079,ÅRNESTØLSVATN_1_DAM
2022-06-01,4858090,0.0581149129937299,ÅRNESTØLSVATN_1_DAM
2022-07-01,60293893,0.721265836110129,ÅRNESTØLSVATN_1_DAM
2022-08-01,49379105,0.59069765911773,ÅRNESTØLSVATN_1_DAM
2022-09-01,14470182,0.173099586037607,ÅRNESTØLSVATN_1_DAM
2022-10-01,91480579,1.09433664036711,ÅRNESTØLSVATN_1_DAM
2022-11-01,107135270,1.28160591808916,ÅRNESTØLSVATN_1_DAM
2022-12-01,117996913,1.41153834789469,ÅRNESTØLSVATN_1_DAM
2023-01-01,106030948,1.26839546357986,ÅRNESTØLSVATN_1_DAM
2023-02-01,96306440,1.15206601387291,ÅRNESTØLSVATN_1_DAM
2023-03-01,190252,0.00227588999522098,ÅRNESTØLSVATN_1_DAM
2023-04-01,4121477,0.0493031782574342,ÅRNESTØLSVATN_1_DAM
2023-05-01,37165726,0.444595084248913,ÅRNESTØLSVATN_1_DAM
2023-06-01,11966163,0.14314525289029,ÅRNESTØLSVATN_1_DAM
2023-07-01,74754010,0.894245019561682,ÅRNESTØLSVATN_1_DAM
